VideoURL,Question,Selected Answer,isSelectedAnswerCorrect,Choice A,Choice A Probability,Choice B,Choice B Probability,Choice C,Choice C Probability,Choice D,Choice D Probability,Correct Answer,Not Top Token,Top Token,Chosen index for top frame,Second best index,Third best index,Path Top1,Path Top2,Path Top3,top 1 text
zwbCD3CUFIs,What color is the spatula on the cutting board?,Black,False,Blue,0.25537109375,Green,0.080322265625,Black,0.58447265625,Red,0.009368896484375,Green,False,,23,11,12,./storage/zwbCD3CUFIs/frames/frame_000690.jpg,./storage/zwbCD3CUFIs/frames/frame_000330.jpg,./storage/zwbCD3CUFIs/frames/frame_000360.jpg,have in our upcoming cookbook so plug a little pride yeah I'll let me just like flip that over like so just cut this into strips you can see that these ribbons are going to be almost like it's all it's like egg noodles yeah yeah lovely all right so we'll fire up the wok get it on a kind of medium heat and then we'll pop some oil in so and with the 
zwbCD3CUFIs,What green ingredient is added to the pan ?,Green pepper,False,Spring onions,0.355712890625,Cucumber,0.036895751953125,Green pepper,0.50927734375,Green beans,0.049652099609375,Spring onions,False,,10,11,9,./storage/zwbCD3CUFIs/frames/frame_000300.jpg,./storage/zwbCD3CUFIs/frames/frame_000330.jpg,./storage/zwbCD3CUFIs/frames/frame_000270.jpg,grams as good this coats all the prawns and gives it like a really kind of well alloxan or the moisture of the poison also gives it a really kind of like a silky coating around the no one likes a rubbery fraud so we just put about a tablespoon of oil in the wok now you want this quite hot don't you do them you do you have to basically see those 
zwbCD3CUFIs,What is the purpose of the large blue object on the table ?,To provide heat to cook,True,It is a trash can,0.0938720703125,It's a decoration,0.0106964111328125,To provide heat to cook,0.82373046875,It is a pan,0.04681396484375,To provide heat to cook,False,,12,11,23,./storage/zwbCD3CUFIs/frames/frame_000360.jpg,./storage/zwbCD3CUFIs/frames/frame_000330.jpg,./storage/zwbCD3CUFIs/frames/frame_000690.jpg,and gives it like a really kind of well alloxan or the moisture of the poison also gives it a really kind of like a silky coating around the no one likes a rubbery fraud so we just put about a tablespoon of oil in the wok now you want this quite hot don't you do them you do you have to basically see those prawns immediately so in it goes so 
zwbCD3CUFIs,How many prawns are cooking in the pan?,About 4 big prawns,False,approximately 80 prawns,0.0684814453125,approximately 25,0.08935546875,there are no prawns,0.29296875,About 4 big prawns,0.394287109375,approximately 25,False,,15,16,13,./storage/zwbCD3CUFIs/frames/frame_000450.jpg,./storage/zwbCD3CUFIs/frames/frame_000480.jpg,./storage/zwbCD3CUFIs/frames/frame_000390.jpg,rubbery fraud so we just put about a tablespoon of oil in the wok now you want this quite hot don't you do them you do you have to basically see those prawns immediately so in it goes so we're just going to stir fry these for about two to three minutes until they're flesh of the prawns is pink and firm so 
XzgR14o6b80,What is the color if the liquid the two steaks are in?,Yellow-brown,True,Yellow-brown,0.94921875,Green,0.003971099853515625,Red,0.0173797607421875,Transparent,0.00881195068359375,Yellow-brown,False,,35,14,13,./storage/XzgR14o6b80/frames/frame_001050.jpg,./storage/XzgR14o6b80/frames/frame_000420.jpg,./storage/XzgR14o6b80/frames/frame_000390.jpg,Mountain mayonnaise on oh you just see how soft and delicious and almost sort of melting in the mouth texture we've got and this amazing sirloin so got that really nice nice sear around the outside it's just nice and pink in the 
XzgR14o6b80,What color is the hair of the man cooking?,Blond,True,White,0.114013671875,Blond,0.869140625,Medium Brown,0.007579803466796875,Black,0.0007390975952148438,Blond,False,,25,26,7,./storage/XzgR14o6b80/frames/frame_000750.jpg,./storage/XzgR14o6b80/frames/frame_000780.jpg,./storage/XzgR14o6b80/frames/frame_000210.jpg,a really good mix these are basic corn tortilla the trick is to sort of color them and then shape them actually place it on the gas ring use some tongs so it's not to burn yourself you can also toast your tacos 
XzgR14o6b80,Which country are the cabbages from?,They are chinese,True,They are mexican,0.338623046875,They are chinese,0.402099609375,They are british,0.051513671875,They are french,0.0084075927734375,They are chinese,False,,21,18,19,./storage/XzgR14o6b80/frames/frame_000630.jpg,./storage/XzgR14o6b80/frames/frame_000540.jpg,./storage/XzgR14o6b80/frames/frame_000570.jpg,your time you think of cabbage here and you think of sort of brazed overcooked cabbage nothing worse but I Tech you want freshness a little season of chili flakes they sort of discret give it a little bit of heat little touch of rice wine vinegar you haven't 
XzgR14o6b80,How much wasabi is on the spoon ?,A full spoon,False,A full spoon,0.3291015625,A single drop,0.264404296875,,0.07342529296875,About a thumbnail size,0.229736328125,About a thumbnail size,False,,39,38,37,./storage/XzgR14o6b80/frames/frame_001170.jpg,./storage/XzgR14o6b80/frames/frame_001140.jpg,./storage/XzgR14o6b80/frames/frame_001110.jpg,back of the spoon with the Wasabi mayonnaise inside Taco just spinkle that delicious pickled cabbage and then just start lining my taco with three or four slices touch more on my spicy 
vow-kxTPatc,How many cups of flour are required ?,2 cups,True,5 cups,0.2958984375,1 cup,0.2269287109375,2 cups,0.404541015625,,0.0181884765625,2 cups,False,,17,6,18,./storage/vow-kxTPatc/frames/frame_000510.jpg,./storage/vow-kxTPatc/frames/frame_000180.jpg,./storage/vow-kxTPatc/frames/frame_000540.jpg,with which we have already dissolved the yeast and make a dough 
vow-kxTPatc,What color is the top of the woman ?,Red - brown,True,Black,0.1416015625,Yellow,0.004589080810546875,Red - brown,0.81494140625,White,0.029693603515625,Red - brown,False,,35,23,43,./storage/vow-kxTPatc/frames/frame_001050.jpg,./storage/vow-kxTPatc/frames/frame_000690.jpg,./storage/vow-kxTPatc/frames/frame_001290.jpg,and another about 3 minutes they will be ready okay it has been about 3 minutes let me check if my nan is ready and yes they look great let's take them 
